name,tabelog_rating,google_rating,address,places_data
GoriMasa,3.27,4.5,"Japan, 〒153-0064 Tokyo, Meguro City, Shimomeguro, 1 Chome−3−28, Sunwood Meguro, B1F",
千串屋 はなれ 六本木店,3.09,3.5,"Japan, 〒106-0032 Tokyo, Minato City, Roppongi, 6 Chome−7−7 ラ・レンヌ六本木 ２F",
小肥羊  上野公園店,3.07,3.6,"Japan, 〒110-0005 Tokyo, Taito City, Ueno, 2 Chome−14−31 レイクサイドビル3F 3F",
ホルモン焼肉酒場 牛ぎゅう,3.22,3.9,"Japan, 〒140-0013 Tokyo, Shinagawa City, Minamioi, 6 Chome−17−12 1F",
二代目 鳥じゅん 品川二号店,3.07,3.5,"2 Chome-2-9 Konan, Minato City, Tokyo 108-0075, Japan",
原宿牡蠣屋 TokyoSeafood,3.24,3.6,"Japan, 〒150-0001 Tokyo, Shibuya City, Jingumae, 6 Chome−31−21 東急プラザ原宿「ハラカド」 5階",
銀座ZION,3.16,3.6,"Japan, 〒104-1061 Tokyo, Chuo City, Ginza, 5 Chome−9−1 銀座コティビル地下 １階",
KITSUNE,3.20,4.4,"248 Lafayette St, New York, NY 10012, United States",
裏NO庭  恵比寿店,3.23,3.2,"Japan, 〒150-0022 Tokyo, Shibuya City, Ebisuminami, 1 Chome−7−8, Ebisu South 1, １F B区画",
韓豚屋 八重洲店,3.11,3.7,"Japan, 〒103-0028 Tokyo, Chuo City, Yaesu, 1 Chome−4−16 東京建物八重洲ビル B2",
餃子 おでん 土鍋ごはん 上の山本,3.34,3.9,"Japan, 〒105-0004 Tokyo, Minato City, Shinbashi, 2 Chome−4−5 不二ビルディング新橋 2F",
もつ焼き 新宿ふじ屋,3.25,4.7,"Japan, 〒160-0023 Tokyo, Shinjuku City, Nishishinjuku, 7 Chome−15−15 東宝観光ビル 102",
豚ウォリー,3.23,3.5,"5 Chome-14-11 Kameido, Koto City, Tokyo 136-0071, Japan",
SOHOLM,3.47,No rating found,"3480 Søholm, Denmark",
